num_of_doors,body_style,drive_wheels,engine_location,length,width,height,curb_weight,num_of_cylinders,engine_size,fuel_system,peak_rpm,city_mpg,highway_mpg,price
four,sedan,rwd,front,186.7,68.4,56.7,3252,four,152,idi,4150,28,33,16900
four,wagon,rwd,front,198.9,68.4,56.7,3285,four,120,mpfi,5000,19,24,16695
four,wagon,rwd,front,198.9,68.4,58.7,3485,four,152,idi,4150,25,25,17075
four,sedan,rwd,front,186.7,68.4,56.7,3075,four,120,mpfi,5000,19,24,16630
four,sedan,rwd,front,186.7,68.4,56.7,3252,four,152,idi,4150,28,33,17950
four,sedan,rwd,front,186.7,68.3,56,3130,four,134,mpfi,5600,18,24,18150
two,hatchback,fwd,front,157.3,63.8,50.8,1918,four,90,2bbl,5500,37,41,5572
two,hatchback,fwd,front,157.3,63.8,50.8,2128,four,98,spdi,5500,24,30,7957
four,hatchback,fwd,front,157.3,63.8,50.6,1967,four,90,2bbl,5500,31,38,6229
four,sedan,fwd,front,167.3,63.8,50.8,1989,four,90,2bbl,5500,31,38,6692
four,sedan,fwd,front,167.3,63.8,50.8,2191,four,98,2bbl,5500,31,38,7609
four,wagon,fwd,front,174.6,64.6,59.8,2535,four,122,2bbl,5000,24,30,8921
two,hatchback,rwd,front,173.2,66.3,50.2,2818,four,156,spdi,5000,19,24,12764
two,hatchback,rwd,front,168.9,68.3,50.2,2778,four,151,mpfi,5500,19,27,22018
two,hardtop,rwd,rear,168.9,65,51.6,2756,six,194,mpfi,5900,17,25,32528
two,hardtop,rwd,rear,168.9,65,51.6,2756,six,194,mpfi,5900,17,25,34028
two,convertible,rwd,rear,168.9,65,51.6,2800,six,194,mpfi,5900,17,25,37028
two,hatchback,rwd,front,175.7,72.3,50.5,3366,eight,203,mpfi,5750,17,28,8249
four,wagon,fwd,front,181.5,66.5,55.2,2579,four,132,mpfi,5000,23,31,9295
two,hatchback,fwd,front,176.8,66.6,50.5,2460,four,132,mpfi,5200,23,31,9895
two,hatchback,fwd,front,186.6,66.5,56.1,2658,four,121,mpfi,5250,21,28,11850
four,sedan,fwd,front,186.6,66.5,56.1,2695,four,121,mpfi,5250,21,28,12170
two,hatchback,fwd,front,186.6,66.5,56.1,2707,four,121,mpfi,5250,21,28,15040
four,sedan,fwd,front,186.6,66.5,56.1,2758,four,121,mpfi,5250,21,28,15510
two,hatchback,fwd,front,186.6,66.5,56.1,2808,four,121,mpfi,5500,19,26,18150
four,sedan,fwd,front,186.6,66.5,56.1,2847,four,121,mpfi,5500,19,26,18620
two,hatchback,fwd,front,156.9,63.4,53.7,2050,four,97,2bbl,4900,31,36,5118
two,hatchback,fwd,front,157.9,63.6,53.7,2120,four,108,2bbl,4400,26,31,7053
two,hatchback,4wd,front,157.3,63.8,55.7,2240,four,108,2bbl,4400,26,31,7603
four,sedan,fwd,front,172,65.4,52.5,2145,four,108,2bbl,4800,32,37,7126
four,sedan,fwd,front,172,65.4,52.5,2190,four,108,2bbl,4400,28,33,7775
four,sedan,fwd,front,172,65.4,52.5,2340,four,108,mpfi,5200,26,32,9960
four,sedan,4wd,front,172,65.4,54.3,2385,four,108,2bbl,4800,24,25,9233
four,sedan,4wd,front,172,65.4,54.3,2510,four,108,mpfi,4800,24,29,11259
four,wagon,fwd,front,173.5,65.4,53,2290,four,108,2bbl,4800,28,32,7463
four,wagon,fwd,front,173.5,65.4,53,2455,four,108,mpfi,5200,25,31,10198
four,wagon,4wd,front,173.6,65.4,54.9,2420,four,108,2bbl,4800,23,29,8013
four,wagon,4wd,front,173.6,65.4,54.9,2650,four,108,mpfi,4800,23,23,11694
two,hatchback,fwd,front,158.7,63.6,54.5,1985,four,92,2bbl,4800,35,39,5348
two,hatchback,fwd,front,158.7,63.6,54.5,2040,four,92,2bbl,4800,31,38,6338
four,hatchback,fwd,front,158.7,63.6,54.5,2015,four,92,2bbl,4800,31,38,6488
four,wagon,fwd,front,169.7,63.6,59.1,2280,four,92,2bbl,4800,31,37,6918
four,wagon,4wd,front,169.7,63.6,59.1,2290,four,92,2bbl,4800,27,32,7898
four,wagon,4wd,front,169.7,63.6,59.1,3110,four,92,2bbl,4800,27,32,8778
four,sedan,fwd,front,166.3,64.4,53,2081,four,98,2bbl,4800,30,37,6938
four,hatchback,fwd,front,166.3,64.4,52.8,2109,four,98,2bbl,4800,30,37,7198
four,sedan,fwd,front,166.3,64.4,53,2275,four,110,idi,4500,34,36,7898
four,hatchback,fwd,front,166.3,64.4,52.8,2275,four,110,idi,4500,38,47,7788
four,sedan,fwd,front,166.3,64.4,53,2094,four,98,2bbl,4800,38,47,7738
four,hatchback,fwd,front,166.3,64.4,52.8,2122,four,98,2bbl,4800,28,34,8358
four,sedan,fwd,front,166.3,64.4,52.8,2140,four,98,2bbl,4800,28,34,9258
two,sedan,rwd,front,168.7,64,52.6,2169,four,98,2bbl,4800,29,34,8058
two,hatchback,rwd,front,168.7,64,52.6,2204,four,98,2bbl,4800,29,34,8238
two,sedan,rwd,front,168.7,64,52.6,2265,four,98,mpfi,6600,26,29,9298
two,hatchback,rwd,front,168.7,64,52.6,2300,four,98,mpfi,6600,26,29,9538
two,hardtop,rwd,front,176.2,65.6,52,2540,four,146,mpfi,4800,24,30,8449
two,hardtop,rwd,front,176.2,65.6,52,2536,four,146,mpfi,4800,24,30,9639
two,hatchback,rwd,front,176.2,65.6,52,2551,four,146,mpfi,4800,24,30,9989
two,hardtop,rwd,front,176.2,65.6,52,2679,four,146,mpfi,4800,24,30,11199
two,hatchback,rwd,front,176.2,65.6,52,2714,four,146,mpfi,4800,24,30,11549
two,convertible,rwd,front,176.2,65.6,53,2975,four,146,mpfi,4800,24,30,17669
four,sedan,fwd,front,175.6,66.5,54.9,2326,four,122,mpfi,4200,29,34,8948
four,sedan,fwd,front,175.6,66.5,54.9,2480,four,110,idi,4500,30,33,10698
four,hatchback,fwd,front,175.6,66.5,53.9,2414,four,122,mpfi,4200,27,32,9988
four,sedan,fwd,front,175.6,66.5,54.9,2414,four,122,mpfi,4200,27,32,10898
four,hatchback,fwd,front,175.6,66.5,53.9,2458,four,122,mpfi,4200,27,32,11248
two,hatchback,rwd,front,183.5,67.7,52,2976,six,171,mpfi,5200,20,24,16558
two,hatchback,rwd,front,183.5,67.7,52,3016,six,171,mpfi,5200,19,24,15998
four,sedan,rwd,front,187.8,66.5,54.1,3131,six,171,mpfi,5200,20,24,15690
four,wagon,rwd,front,187.8,66.5,54.1,3151,six,161,mpfi,5200,19,24,15750
two,sedan,fwd,front,171.7,65.5,55.7,2261,four,97,idi,4800,37,46,7775
two,sedan,fwd,front,171.7,65.5,55.7,2209,four,109,mpfi,5250,27,34,7975
four,sedan,fwd,front,171.7,65.5,55.7,2264,four,97,idi,4800,37,46,7995
four,sedan,fwd,front,171.7,65.5,55.7,2212,four,109,mpfi,5250,27,34,8195
four,sedan,fwd,front,171.7,65.5,55.7,2275,four,109,mpfi,5250,27,34,8495
four,sedan,fwd,front,171.7,65.5,55.7,2319,four,97,idi,4500,37,42,9495
four,sedan,fwd,front,171.7,65.5,55.7,2300,four,109,mpfi,5500,26,32,9995
two,convertible,fwd,front,159.3,64.2,55.6,2254,four,109,mpfi,5500,24,29,11595
two,hatchback,fwd,front,165.7,64,51.4,2221,four,109,mpfi,5500,24,29,9980
four,sedan,fwd,front,180.2,66.9,55.1,2661,five,136,mpfi,5500,19,24,13295
four,sedan,fwd,front,180.2,66.9,55.1,2579,four,97,idi,4500,33,38,13845
four,wagon,fwd,front,183.1,66.9,55.1,2563,four,109,mpfi,5500,25,31,12290
four,sedan,rwd,front,188.8,67.2,56.2,2912,four,141,mpfi,5400,23,28,12940
four,wagon,rwd,front,188.8,67.2,57.5,3034,four,141,mpfi,5400,23,28,13415
four,sedan,rwd,front,188.8,67.2,56.2,2935,four,141,mpfi,5400,24,28,15985
four,wagon,rwd,front,188.8,67.2,57.5,3042,four,141,mpfi,5400,24,28,16515
four,sedan,rwd,front,188.8,67.2,56.2,3045,four,130,mpfi,5100,17,22,18420
four,wagon,rwd,front,188.8,67.2,57.5,3157,four,130,mpfi,5100,17,22,18950
four,sedan,rwd,front,188.8,68.9,55.5,2952,four,141,mpfi,5400,23,28,16845
four,sedan,rwd,front,188.8,68.8,55.5,3049,four,141,mpfi,5300,19,25,19045
four,sedan,rwd,front,188.8,68.9,55.5,3012,six,173,mpfi,5500,18,23,21485
four,sedan,rwd,front,188.8,68.9,55.5,3217,six,145,idi,4800,26,27,22470
four,sedan,rwd,front,188.8,68.9,55.5,3062,four,141,mpfi,5400,19,25,22625
