num_of_doors,body_style,drive_wheels,engine_location,length,width,height,curb_weight,num_of_cylinders,engine_size,fuel_system,peak_rpm,city_mpg,highway_mpg,price
0,3,2,0,188.8,67.2,56.2,2935,2,141,5,5400,24,28,15985
0,3,1,0,172.0,65.4,52.5,2145,2,108,1,4800,32,37,7126
0,3,0,0,176.6,66.4,54.3,2824,1,136,5,5500,18,22,17450
1,2,1,0,150.0,64.0,52.6,1837,2,79,0,5500,38,42,5399
0,4,2,0,198.9,68.4,58.7,3230,2,120,5,5000,19,24,12440
0,3,1,0,171.7,65.5,55.7,2319,2,97,3,4500,37,42,9495
0,3,2,0,186.7,68.4,56.7,3075,2,120,5,5000,19,24,16630
0,4,0,0,173.6,65.4,54.9,2420,2,108,1,4800,23,29,8013
1,3,2,0,176.8,64.8,54.3,2395,2,108,5,5800,23,29,16430
0,3,1,0,177.8,66.5,55.5,2410,2,122,1,4800,26,32,10245
1,2,1,0,157.3,63.8,50.8,1918,2,90,1,5500,37,41,5572
1,2,1,0,158.7,63.6,54.5,1985,2,92,1,4800,35,39,5348
1,1,2,0,176.2,65.6,52.0,2679,2,146,5,4800,24,30,11199
1,0,2,0,168.8,64.1,48.8,2548,2,130,5,5000,21,27,13495
0,3,1,0,171.7,65.5,55.7,2264,2,97,3,4800,37,46,7995
1,3,1,0,171.7,65.5,55.7,2209,2,109,5,5250,27,34,7975
0,3,2,0,202.6,71.7,56.3,3770,1,183,3,4350,22,25,31600
0,3,2,0,188.8,68.9,55.5,3217,3,145,3,4800,26,27,22470
0,2,1,0,177.8,66.5,55.5,2425,2,122,1,4800,26,32,11245
1,3,1,0,155.9,63.6,52.0,1874,2,90,1,5400,38,43,14869
1,3,2,0,168.7,64.0,52.6,2265,2,98,5,6600,26,29,9298
0,4,1,0,174.6,64.6,59.8,2535,2,122,1,5000,24,30,8921
0,3,1,0,175.4,62.5,54.1,2372,2,110,0,5800,27,33,10295
0,3,2,0,186.7,68.4,56.7,3197,2,152,3,4150,28,33,13200
0,4,1,0,174.6,64.6,59.8,2535,2,122,1,5000,24,30,8921
1,2,1,0,157.3,63.8,50.8,2128,2,98,5,5500,24,30,7957
0,4,0,0,169.7,63.6,59.1,3110,2,92,1,4800,27,32,8778
1,0,1,0,159.3,64.2,55.6,2254,2,109,5,5500,24,29,11595
1,2,1,0,173.0,65.4,49.4,2328,2,122,1,5000,25,32,8499
0,3,1,0,175.4,65.2,54.1,2304,2,110,0,5800,27,33,8845
1,0,2,0,176.2,65.6,53.0,2975,2,146,5,4800,24,30,17669
0,3,2,0,199.6,69.6,52.8,4066,3,258,5,4750,15,19,32250
1,3,1,0,165.3,63.8,54.5,1951,2,97,1,5200,31,37,7299
0,3,1,0,166.3,64.4,53.0,2275,2,110,3,4500,34,36,7898
0,3,2,0,170.7,61.8,53.5,2337,2,111,1,4800,24,29,6785
0,3,1,0,172.0,65.4,52.5,2190,2,108,1,4400,28,33,7775
0,3,1,0,176.6,66.2,54.3,2337,2,109,5,5500,24,30,13950
1,2,2,0,170.7,67.9,49.7,3139,3,181,5,5200,17,23,19699
0,3,1,0,166.8,64.2,54.1,1945,2,91,1,5000,31,38,6695
0,3,1,0,186.6,66.5,56.1,2695,2,121,5,5250,21,28,12170
0,3,1,0,171.7,65.5,55.7,2212,2,109,5,5250,27,34,8195
0,2,1,0,166.3,64.4,52.8,2122,2,98,1,4800,28,34,8358
1,2,1,0,165.7,64.0,51.4,2221,2,109,5,5500,24,29,9980
1,3,2,0,191.7,70.6,47.8,3950,5,326,5,5000,13,17,36000
1,2,1,0,173.0,65.4,49.4,2370,2,110,6,5500,23,30,9959
1,2,1,0,150.0,64.0,52.6,1956,2,92,0,6000,30,34,7129
0,4,1,0,192.7,71.4,55.7,2954,1,136,5,5500,19,25,18920
0,4,2,0,198.9,68.4,58.7,3430,2,152,3,4150,25,25,13860
1,3,1,0,165.3,63.8,54.5,1918,2,97,1,5200,31,37,6649
1,2,1,0,173.2,66.3,50.2,2921,2,156,6,5000,19,24,14869
0,4,2,0,187.8,66.5,54.1,3151,3,161,5,5200,19,24,15750
0,3,1,0,171.7,65.5,55.7,2275,2,109,5,5250,27,34,8495
1,3,1,0,165.3,63.8,54.5,1889,2,97,1,5200,31,37,5499
0,3,1,0,192.7,71.4,55.9,3086,1,131,5,5500,17,20,23875
0,3,2,0,176.8,64.8,54.3,2765,3,164,5,4250,21,28,21105
1,2,1,0,177.8,66.5,53.7,2385,2,122,1,4800,26,32,8845
0,3,1,0,175.6,66.5,54.9,2414,2,122,5,4200,27,32,10898
1,2,1,0,176.8,66.6,50.5,2460,2,132,5,5200,23,31,9895
0,3,2,0,197.0,70.9,56.3,3505,3,209,5,5400,15,20,36880
1,0,2,0,180.3,70.5,50.8,3685,0,234,5,4750,16,18,35056
0,3,2,0,187.8,66.5,54.1,3131,3,171,5,5200,20,24,15690
1,2,1,0,186.6,66.5,56.1,2707,2,121,5,5250,21,28,15040
1,2,2,0,176.2,65.6,52.0,2714,2,146,5,4800,24,30,11549
0,3,2,0,188.8,67.2,56.2,3045,2,130,5,5100,17,22,18420
1,3,1,0,177.8,66.5,55.5,2443,2,122,3,4650,36,42,10795
0,3,1,0,166.8,64.2,54.1,1950,2,91,1,5000,31,38,7395
0,3,2,0,186.7,68.4,56.7,3020,2,120,5,5000,19,24,11900
1,2,1,0,159.1,64.2,54.1,1890,2,91,1,5000,30,31,5195
0,3,2,0,188.8,68.8,55.5,3049,2,141,5,5300,19,25,19045
1,2,2,0,176.2,65.6,52.0,2551,2,146,5,4800,24,30,9989
1,2,2,0,169.0,65.7,49.6,2500,6,80,5,6000,16,23,15645
0,3,2,0,199.6,69.6,52.8,4066,3,258,5,4750,15,19,35550
0,3,1,0,172.4,65.4,51.6,2403,2,110,6,5500,23,30,9279
1,2,1,0,157.3,63.8,50.8,1876,2,90,1,5500,37,41,5572
1,2,2,0,169.0,65.7,49.6,2385,6,70,2,6000,17,23,13645
0,3,1,0,166.3,64.4,53.0,2094,2,98,1,4800,38,47,7738
0,4,2,0,188.8,67.2,57.5,3042,2,141,5,5400,24,28,16515
1,2,2,0,175.7,72.3,50.5,3366,0,203,5,5750,17,28,8249
1,2,1,0,167.5,65.2,53.3,2236,2,110,0,5800,27,33,7895
0,2,1,0,166.3,64.4,52.8,2109,2,98,1,4800,30,37,7198
0,4,1,0,183.1,66.9,55.1,2563,2,109,5,5500,25,31,12290
1,0,2,0,168.8,64.1,48.8,2548,2,130,5,5000,21,27,16500
1,2,1,0,159.1,64.2,54.1,1905,2,91,1,5000,31,38,6795
0,4,0,0,173.6,65.4,54.9,2650,2,108,5,4800,23,23,11694
0,4,1,0,181.5,66.5,55.2,2579,2,132,5,5000,23,31,9295
1,2,1,0,158.7,63.6,54.5,2040,2,92,1,4800,31,38,6338
0,3,1,0,184.6,66.5,55.1,3060,3,181,5,5200,19,25,13499
0,2,1,0,173.4,65.2,54.7,2324,2,120,1,5200,27,34,8949
0,3,2,0,186.7,68.4,56.7,3252,2,152,3,4150,28,33,17950
0,3,1,0,172.4,65.4,51.6,2403,2,110,6,5500,23,30,9279
1,1,2,0,199.2,72.0,55.4,3715,0,304,5,4500,14,16,45400
0,3,1,0,167.3,63.8,50.8,1989,2,90,1,5500,31,38,6692
0,3,2,0,188.8,68.9,55.5,3062,2,141,5,5400,19,25,22625
0,3,1,0,158.8,63.6,52.0,1909,2,90,1,5400,38,43,6575
0,3,1,0,171.7,65.5,55.7,2300,2,109,5,5500,26,32,9995
0,3,2,0,202.6,71.7,56.5,3740,0,234,5,4750,16,18,34184
1,2,2,0,178.5,67.9,49.7,3139,3,181,5,5200,19,25,18399
0,3,2,0,189.0,66.9,55.7,3055,3,164,5,4250,20,25,24565
0,3,1,0,165.3,63.8,54.5,1938,2,97,1,5200,31,37,6849
1,2,2,0,183.5,67.7,52.0,3016,3,171,5,5200,19,24,15998
0,4,1,0,184.6,66.5,56.1,3296,3,181,5,5200,17,22,14399
